S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1917,India,2019,Ransomware,Banking,"89,410,000.00","453,441.00",Hacker Group,Unpatched Software,VPN,29
1918,Australia,2017,Malware,IT,"33,340,000.00","673,439.00",Insider,Weak Passwords,Firewall,13
1919,Brazil,2016,SQL Injection,Communications,"13,940,000.00","832,297.00",Nation-state,Weak Passwords,AI-based Detection,69
1920,India,2018,Phishing,IT,"13,050,000.00","400,964.00",Nation-state,Weak Passwords,VPN,19
1921,France,2019,DDoS,Communications,"52,940,000.00","192,293.00",Nation-state,Weak Passwords,VPN,57
1922,Russia,2019,Man in the Middle,Banking,"26,020,000.00","565,292.00",Insider,Unpatched Software,Antivirus,27
1923,Brazil,2016,Phishing,Education,"9,230,000.00","774,750.00",Nation-state,Social Engineering,Firewall,70
1924,France,2022,Phishing,IT,"78,200,000.00","666,996.00",Insider,Weak Passwords,Encryption,59
1925,Germany,2016,Malware,Healthcare,"94,120,000.00","21,382.00",Unknown,Weak Passwords,Encryption,21
1926,Germany,2021,Phishing,Communications,"55,140,000.00","463,525.00",Nation-state,Unpatched Software,AI-based Detection,59
1927,Russia,2022,Ransomware,Communications,"16,980,000.00","905,673.00",Insider,Weak Passwords,VPN,54
1928,India,2024,Man in the Middle,Retail,"30,590,000.00","619,881.00",Nation-state,Unpatched Software,Antivirus,42
1929,France,2015,Malware,Banking,"20,270,000.00","987,350.00",Insider,Zero-day,Antivirus,4
1930,USA,2019,Phishing,Education,"97,320,000.00","849,084.00",Nation-state,Zero-day,VPN,62
1931,UK,2017,Man in the Middle,Education,"13,060,000.00","799,627.00",Hacker Group,Weak Passwords,Antivirus,36
1932,France,2023,Man in the Middle,Education,"87,390,000.00","307,155.00",Unknown,Unpatched Software,Antivirus,28
1933,Japan,2024,Ransomware,Retail,"88,360,000.00","989,106.00",Unknown,Zero-day,Firewall,3
1934,India,2020,Man in the Middle,Retail,"84,770,000.00","129,144.00",Hacker Group,Weak Passwords,Antivirus,25
1935,UK,2015,Malware,Government,"57,810,000.00","767,562.00",Unknown,Zero-day,Antivirus,61
1936,Brazil,2015,Malware,IT,"74,030,000.00","956,965.00",Hacker Group,Unpatched Software,Encryption,40
1937,Germany,2023,Phishing,Retail,"87,550,000.00","291,580.00",Unknown,Unpatched Software,Firewall,25
1938,Germany,2017,Ransomware,Education,"76,960,000.00","950,276.00",Hacker Group,Unpatched Software,Firewall,31
1939,UK,2017,Man in the Middle,Communications,"89,070,000.00","932,075.00",Unknown,Unpatched Software,Firewall,72
1940,Germany,2015,DDoS,Healthcare,"33,960,000.00","931,456.00",Hacker Group,Zero-day,AI-based Detection,22
1941,Japan,2023,Ransomware,Retail,"28,770,000.00","983,880.00",Nation-state,Unpatched Software,Antivirus,54
1942,China,2022,DDoS,Education,"18,490,000.00","20,680.00",Nation-state,Social Engineering,Firewall,29
1943,Australia,2018,Malware,Education,"21,390,000.00","437,056.00",Hacker Group,Zero-day,AI-based Detection,52
1944,India,2021,Malware,Government,"57,910,000.00","769,222.00",Insider,Weak Passwords,Antivirus,32
1945,Australia,2022,Malware,Government,"4,500,000.00","436,928.00",Unknown,Social Engineering,Antivirus,34
1946,China,2021,DDoS,Healthcare,"38,670,000.00","340,194.00",Unknown,Weak Passwords,VPN,44
1947,India,2019,DDoS,IT,"44,010,000.00","612,030.00",Nation-state,Unpatched Software,Antivirus,47
1948,Australia,2019,Man in the Middle,IT,"87,890,000.00","551,100.00",Insider,Zero-day,VPN,9
1949,Brazil,2022,Phishing,IT,"26,020,000.00","251,768.00",Unknown,Social Engineering,VPN,6
1950,Japan,2015,DDoS,Retail,"11,690,000.00","680,720.00",Nation-state,Zero-day,Encryption,2
1951,USA,2017,DDoS,Communications,"51,690,000.00","156,213.00",Nation-state,Weak Passwords,VPN,9
1952,Japan,2020,Man in the Middle,Retail,"33,750,000.00","468,856.00",Hacker Group,Unpatched Software,Firewall,15
1953,France,2023,Ransomware,Government,"63,450,000.00","90,678.00",Nation-state,Unpatched Software,Firewall,22
1954,UK,2022,DDoS,Retail,"45,730,000.00","554,585.00",Hacker Group,Social Engineering,VPN,63
1955,China,2021,Man in the Middle,Banking,"33,300,000.00","935,265.00",Nation-state,Unpatched Software,Firewall,20
1956,Japan,2023,SQL Injection,Banking,"43,960,000.00","459,922.00",Nation-state,Zero-day,Encryption,12
1957,France,2017,DDoS,Healthcare,"6,720,000.00","782,873.00",Hacker Group,Zero-day,Encryption,4
1958,UK,2020,Ransomware,Banking,"53,030,000.00","528,708.00",Unknown,Social Engineering,VPN,14
1959,Germany,2020,SQL Injection,Healthcare,"38,890,000.00","513,096.00",Hacker Group,Weak Passwords,VPN,57
1960,Australia,2018,DDoS,Education,"79,500,000.00","636,407.00",Hacker Group,Zero-day,Encryption,11
1961,USA,2020,Ransomware,Retail,"38,020,000.00","419,557.00",Unknown,Weak Passwords,Antivirus,2
1962,Brazil,2018,DDoS,Healthcare,"47,470,000.00","784,099.00",Insider,Social Engineering,AI-based Detection,30
1963,Japan,2024,Malware,Communications,"71,180,000.00","37,870.00",Nation-state,Zero-day,AI-based Detection,31
1964,Brazil,2022,Malware,IT,"4,080,000.00","291,590.00",Hacker Group,Zero-day,Antivirus,22
1965,India,2018,SQL Injection,Communications,"15,960,000.00","444,408.00",Unknown,Weak Passwords,AI-based Detection,64
1966,Germany,2015,Malware,Banking,"56,130,000.00","526,658.00",Nation-state,Weak Passwords,VPN,38
1967,Japan,2021,Malware,Retail,"30,530,000.00","333,238.00",Hacker Group,Social Engineering,Firewall,20
1968,Australia,2020,DDoS,Retail,"31,360,000.00","449,936.00",Insider,Weak Passwords,VPN,52
1969,Germany,2023,Malware,Retail,"71,050,000.00","61,238.00",Unknown,Unpatched Software,AI-based Detection,41
1970,USA,2024,Malware,Education,"24,930,000.00","916,209.00",Unknown,Zero-day,Encryption,50
1971,India,2022,DDoS,Banking,"13,970,000.00","762,440.00",Nation-state,Unpatched Software,AI-based Detection,19
1972,China,2021,Malware,Banking,"92,200,000.00","248,859.00",Nation-state,Social Engineering,Antivirus,33
1973,Russia,2015,SQL Injection,IT,"47,800,000.00","645,774.00",Hacker Group,Social Engineering,Firewall,7
1974,Brazil,2024,Man in the Middle,Healthcare,"61,550,000.00","218,189.00",Unknown,Weak Passwords,AI-based Detection,48
1975,China,2015,Man in the Middle,Banking,"66,470,000.00","623,301.00",Hacker Group,Social Engineering,VPN,40
1976,Germany,2017,Ransomware,Education,"10,320,000.00","195,872.00",Hacker Group,Social Engineering,Antivirus,22
1977,Germany,2016,SQL Injection,IT,"76,360,000.00","807,745.00",Nation-state,Unpatched Software,AI-based Detection,71
1978,France,2020,Ransomware,Healthcare,"25,490,000.00","50,385.00",Unknown,Unpatched Software,Antivirus,10
1979,Brazil,2017,Malware,Communications,"73,710,000.00","377,769.00",Hacker Group,Zero-day,Firewall,38
1980,UK,2018,Ransomware,Communications,"99,410,000.00","355,256.00",Hacker Group,Unpatched Software,Firewall,51
1981,UK,2017,DDoS,Government,"65,570,000.00","478,549.00",Hacker Group,Weak Passwords,Antivirus,37
1982,Germany,2022,Malware,Retail,"60,850,000.00","125,300.00",Insider,Weak Passwords,AI-based Detection,11
1983,France,2018,Ransomware,Education,"34,540,000.00","608,196.00",Insider,Weak Passwords,AI-based Detection,25
1984,China,2023,Phishing,Government,"43,490,000.00","27,694.00",Unknown,Weak Passwords,Encryption,30
1985,China,2017,Man in the Middle,Retail,"30,380,000.00","29,840.00",Hacker Group,Weak Passwords,AI-based Detection,63
1986,Russia,2015,Phishing,Banking,"4,590,000.00","720,643.00",Unknown,Social Engineering,Firewall,19
1987,Germany,2015,Man in the Middle,IT,"54,540,000.00","775,866.00",Insider,Weak Passwords,AI-based Detection,69
1988,USA,2021,Phishing,Retail,"95,860,000.00","671,335.00",Hacker Group,Zero-day,Antivirus,62
1989,USA,2017,DDoS,Banking,"98,070,000.00","276,199.00",Insider,Weak Passwords,Antivirus,28
1990,UK,2015,Ransomware,IT,"75,490,000.00","534,962.00",Unknown,Weak Passwords,Encryption,59
1991,UK,2022,Phishing,Communications,"62,800,000.00","758,516.00",Hacker Group,Zero-day,VPN,16
1992,Australia,2018,Phishing,Education,"82,180,000.00","943,662.00",Unknown,Weak Passwords,Antivirus,47
1993,Germany,2019,Ransomware,Government,"99,300,000.00","257,068.00",Hacker Group,Social Engineering,AI-based Detection,17
1994,USA,2015,DDoS,Education,"66,040,000.00","75,167.00",Insider,Unpatched Software,VPN,13
1995,Germany,2017,SQL Injection,Retail,"88,180,000.00","3,200.00",Insider,Weak Passwords,AI-based Detection,43
1996,Japan,2018,Ransomware,IT,"60,820,000.00","917,016.00",Unknown,Weak Passwords,VPN,39
1997,UK,2020,SQL Injection,Banking,"40,310,000.00","760,892.00",Hacker Group,Zero-day,VPN,22
1998,UK,2021,SQL Injection,Communications,"1,470,000.00","204,624.00",Unknown,Unpatched Software,VPN,33
1999,India,2020,DDoS,Healthcare,"16,650,000.00","324,899.00",Insider,Unpatched Software,Firewall,57
2000,Australia,2023,Ransomware,Government,"96,440,000.00","472,878.00",Unknown,Social Engineering,Firewall,37
2001,France,2022,Malware,Retail,"13,770,000.00","804,221.00",Nation-state,Zero-day,Firewall,68
2002,Russia,2023,Ransomware,Banking,"54,090,000.00","514,319.00",Hacker Group,Zero-day,Firewall,37
2003,USA,2016,Man in the Middle,Education,"2,170,000.00","180,599.00",Insider,Social Engineering,Antivirus,4
2004,China,2017,SQL Injection,Retail,"61,830,000.00","129,677.00",Hacker Group,Unpatched Software,Firewall,60
2005,USA,2016,Ransomware,Communications,"99,880,000.00","999,508.00",Unknown,Unpatched Software,VPN,23
2006,Australia,2019,SQL Injection,Healthcare,"3,920,000.00","915,247.00",Nation-state,Zero-day,Encryption,52
2007,Japan,2015,Man in the Middle,Education,"50,990,000.00","685,261.00",Nation-state,Unpatched Software,AI-based Detection,36
2008,UK,2023,DDoS,Government,"34,800,000.00","48,515.00",Hacker Group,Social Engineering,Encryption,50
2009,China,2017,Man in the Middle,Government,"49,370,000.00","613,786.00",Nation-state,Unpatched Software,Antivirus,24
2010,Australia,2016,DDoS,Education,"61,230,000.00","228,033.00",Nation-state,Unpatched Software,Encryption,43
2011,India,2019,SQL Injection,Education,"95,540,000.00","862,718.00",Hacker Group,Weak Passwords,Antivirus,44
2012,Russia,2017,Ransomware,Healthcare,"16,770,000.00","924,837.00",Hacker Group,Unpatched Software,Firewall,62
2013,Japan,2018,SQL Injection,Government,"20,360,000.00","876,850.00",Insider,Weak Passwords,AI-based Detection,8
2014,Germany,2017,Phishing,Banking,"10,560,000.00","556,014.00",Nation-state,Unpatched Software,Encryption,11
2015,Brazil,2021,Phishing,Government,"42,820,000.00","974,362.00",Insider,Unpatched Software,Encryption,70
2016,India,2017,Man in the Middle,IT,"68,680,000.00","725,608.00",Insider,Zero-day,AI-based Detection,15
2017,Russia,2019,Man in the Middle,Education,"6,790,000.00","386,691.00",Nation-state,Weak Passwords,AI-based Detection,20
2018,India,2017,SQL Injection,Government,"40,980,000.00","402,855.00",Insider,Social Engineering,AI-based Detection,26
2019,Japan,2018,Phishing,Healthcare,"25,660,000.00","518,357.00",Insider,Weak Passwords,Firewall,42
2020,USA,2018,Phishing,Banking,"29,350,000.00","724,633.00",Hacker Group,Weak Passwords,Encryption,26
2021,Germany,2015,Ransomware,IT,"6,740,000.00","742,272.00",Nation-state,Zero-day,Antivirus,64
2022,Brazil,2024,Malware,IT,"83,090,000.00","650,093.00",Unknown,Social Engineering,Antivirus,58
2023,Japan,2021,Phishing,Banking,"94,320,000.00","755,165.00",Hacker Group,Social Engineering,Antivirus,28
2024,UK,2021,DDoS,IT,"67,120,000.00","581,923.00",Hacker Group,Social Engineering,VPN,63
2025,Australia,2024,Man in the Middle,Retail,"76,830,000.00","637,189.00",Hacker Group,Unpatched Software,Antivirus,56
2026,USA,2017,DDoS,Retail,"70,370,000.00","513,625.00",Nation-state,Weak Passwords,VPN,37
2027,Germany,2024,Phishing,Government,"22,460,000.00","499,142.00",Nation-state,Unpatched Software,VPN,70
2028,USA,2024,Phishing,Healthcare,"17,640,000.00","8,334.00",Unknown,Zero-day,Firewall,13
2029,USA,2020,Phishing,Government,"37,300,000.00","617,277.00",Insider,Social Engineering,Antivirus,4
2030,USA,2018,Man in the Middle,Education,"2,170,000.00","614,662.00",Unknown,Weak Passwords,VPN,37
2031,China,2024,DDoS,Banking,"99,990,000.00","755,185.00",Unknown,Weak Passwords,Encryption,20
2032,Russia,2018,DDoS,IT,"37,840,000.00","839,882.00",Nation-state,Social Engineering,AI-based Detection,7
2033,Russia,2021,Ransomware,Education,"86,800,000.00","852,965.00",Nation-state,Weak Passwords,Antivirus,39
2034,Brazil,2021,Man in the Middle,Banking,"3,690,000.00","566,386.00",Insider,Unpatched Software,Encryption,45
2035,Japan,2017,Phishing,IT,"73,850,000.00","402,903.00",Insider,Zero-day,Encryption,55
2036,UK,2018,DDoS,Retail,"500,000.00","261,266.00",Hacker Group,Weak Passwords,Firewall,63
2037,France,2015,Malware,IT,"91,940,000.00","899,215.00",Hacker Group,Weak Passwords,Antivirus,59
2038,China,2023,Man in the Middle,Education,"35,370,000.00","455,900.00",Hacker Group,Zero-day,Antivirus,11
2039,Japan,2023,SQL Injection,Government,"69,610,000.00","391,049.00",Unknown,Weak Passwords,Antivirus,35
2040,France,2020,Ransomware,Government,"81,530,000.00","694,660.00",Unknown,Weak Passwords,Encryption,29
2041,Germany,2020,DDoS,IT,"63,960,000.00","650,469.00",Unknown,Unpatched Software,Antivirus,58
2042,USA,2020,SQL Injection,IT,"68,170,000.00","247,149.00",Nation-state,Unpatched Software,Antivirus,47
2043,Japan,2019,DDoS,Education,"15,540,000.00","645,578.00",Insider,Weak Passwords,AI-based Detection,56
2044,Germany,2019,SQL Injection,Government,"67,050,000.00","848,517.00",Unknown,Unpatched Software,Antivirus,16
2045,France,2019,Malware,Healthcare,"25,190,000.00","897,755.00",Hacker Group,Social Engineering,Antivirus,61
2046,USA,2023,Ransomware,Government,"93,340,000.00","999,635.00",Nation-state,Weak Passwords,Firewall,24
2047,Brazil,2017,Phishing,Government,"87,270,000.00","767,721.00",Unknown,Weak Passwords,Encryption,9
2048,India,2019,Phishing,IT,"33,150,000.00","629,687.00",Unknown,Social Engineering,Firewall,53
2049,India,2021,Phishing,Retail,"38,500,000.00","517,843.00",Unknown,Unpatched Software,VPN,69
2050,Russia,2015,DDoS,Healthcare,"20,920,000.00","807,631.00",Nation-state,Weak Passwords,Firewall,56
2051,France,2024,Phishing,Retail,"98,950,000.00","354,954.00",Nation-state,Social Engineering,AI-based Detection,14
2052,Japan,2017,SQL Injection,Healthcare,"54,260,000.00","839,368.00",Insider,Unpatched Software,Antivirus,40
2053,Australia,2018,DDoS,Healthcare,"10,770,000.00","910,081.00",Nation-state,Zero-day,VPN,28
2054,USA,2024,Phishing,IT,"87,420,000.00","979,700.00",Hacker Group,Weak Passwords,Firewall,49
2055,China,2019,Man in the Middle,Communications,"58,780,000.00","586,131.00",Nation-state,Unpatched Software,Antivirus,68
2056,Australia,2017,Phishing,Education,"82,470,000.00","317,988.00",Nation-state,Zero-day,Encryption,2
2057,India,2018,Ransomware,Government,"43,110,000.00","11,241.00",Hacker Group,Weak Passwords,VPN,4
2058,Brazil,2016,Phishing,Education,"97,980,000.00","381,599.00",Unknown,Weak Passwords,Encryption,66
2059,USA,2016,SQL Injection,Education,"16,500,000.00","347,293.00",Nation-state,Unpatched Software,Firewall,65
2060,UK,2023,Ransomware,IT,"86,230,000.00","82,321.00",Unknown,Zero-day,Firewall,47
2061,Germany,2023,SQL Injection,Retail,"49,760,000.00","460,558.00",Nation-state,Zero-day,VPN,61
2062,Germany,2022,Man in the Middle,Communications,"62,830,000.00","828,280.00",Hacker Group,Social Engineering,VPN,62
2063,India,2020,Malware,Education,"20,140,000.00","287,352.00",Unknown,Zero-day,Firewall,69
2064,Australia,2020,Ransomware,Government,"25,900,000.00","946,651.00",Insider,Unpatched Software,VPN,67
2065,Japan,2017,Phishing,Education,"88,430,000.00","954,423.00",Unknown,Unpatched Software,Firewall,6
2066,Australia,2022,Ransomware,Banking,"32,560,000.00","979,382.00",Nation-state,Social Engineering,Antivirus,43
2067,Brazil,2017,DDoS,Government,"58,670,000.00","12,372.00",Nation-state,Social Engineering,Encryption,29
2068,Japan,2017,Phishing,IT,"6,490,000.00","195,044.00",Unknown,Unpatched Software,AI-based Detection,20
2069,Japan,2019,Ransomware,Communications,"34,930,000.00","721,984.00",Nation-state,Weak Passwords,VPN,44
2070,UK,2022,DDoS,Education,"71,550,000.00","654,253.00",Insider,Weak Passwords,VPN,35
2071,Brazil,2015,Malware,Healthcare,"23,010,000.00","686,119.00",Insider,Weak Passwords,VPN,25
2072,Australia,2017,Man in the Middle,Healthcare,"93,910,000.00","776,634.00",Unknown,Weak Passwords,Encryption,33
2073,India,2020,Ransomware,IT,"41,090,000.00","698,224.00",Insider,Unpatched Software,VPN,21
2074,Germany,2023,Malware,Government,"86,770,000.00","88,821.00",Unknown,Zero-day,Antivirus,39
2075,Russia,2022,Man in the Middle,Banking,"53,950,000.00","846,546.00",Unknown,Unpatched Software,VPN,51
2076,Brazil,2016,Man in the Middle,Retail,"14,040,000.00","117,819.00",Nation-state,Zero-day,Antivirus,15
2077,Russia,2021,Man in the Middle,IT,"70,970,000.00","465,446.00",Unknown,Unpatched Software,Encryption,51
2078,Brazil,2015,Malware,Healthcare,"75,720,000.00","184,554.00",Unknown,Zero-day,AI-based Detection,39
2079,USA,2022,Phishing,IT,"48,710,000.00","520,480.00",Insider,Weak Passwords,VPN,66
2080,Brazil,2020,Malware,Government,"50,610,000.00","294,668.00",Nation-state,Social Engineering,Encryption,17
2081,USA,2017,Man in the Middle,Healthcare,"54,540,000.00","892,665.00",Insider,Unpatched Software,VPN,31
2082,USA,2018,Ransomware,Healthcare,"87,420,000.00","80,926.00",Hacker Group,Unpatched Software,Antivirus,19
2083,UK,2016,Ransomware,Education,"80,770,000.00","884,536.00",Insider,Zero-day,Encryption,34
2084,Brazil,2015,SQL Injection,Healthcare,"3,730,000.00","445,422.00",Unknown,Unpatched Software,AI-based Detection,70
2085,Russia,2020,Ransomware,Government,"52,280,000.00","376,628.00",Unknown,Zero-day,Firewall,30
2086,Brazil,2016,Man in the Middle,Banking,"70,890,000.00","378,949.00",Unknown,Weak Passwords,AI-based Detection,67
2087,Japan,2023,Phishing,IT,"35,270,000.00","26,036.00",Hacker Group,Weak Passwords,VPN,71
2088,USA,2020,DDoS,Government,"40,980,000.00","191,369.00",Insider,Unpatched Software,Firewall,65
2089,India,2017,Phishing,IT,"93,620,000.00","899,005.00",Insider,Weak Passwords,AI-based Detection,61
2090,France,2021,Man in the Middle,Education,"20,570,000.00","119,348.00",Nation-state,Unpatched Software,Firewall,48
